doc_id,domain,title,date_published,collection,tags,url
"127","bbc.co.uk","BBC News - Isle of Man pledges £100,000 to Philippines typhoon fund","2013-11-14T10:33:58+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-europe-isle-of-man-24924586"
"128","bbc.co.uk","BBC News - Guernsey pledges £50,000 to Philippines typhoon fund","2013-11-12T14:39:33+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-europe-guernsey-24901410"
"129","bbc.co.uk","BBC News - Philippines typhoon: Several Britons 'unaccounted for'","2013-11-17T15:13:33+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24973328"
"13","bbc.co.uk","BBC News - School students play part in Philippines typhoon recovery","2014-02-12T21:54:59+00:00","haiyan","bbc","http://www.bbc.co.uk/news/education-26135103"
"130","bbc.co.uk","BBC News - Typhoon Haiyan: Tour a street devastated by the storm","2013-12-20T15:28:08+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-25400193"
"131","bbc.co.uk","BBC News - Typhoon Haiyan: The fears of UK Filipinos searching for loved ones","2013-11-13T09:50:53+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-england-24895825"
"132","bbc.co.uk","BBC News - Typhoon Haiyan: UK disaster appeal raises over £73m","2013-12-08T00:11:15+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-25273818"
"133","bbc.co.uk","BBC News - Philippines: Solar fridges for disaster area from Machynlleth","2013-11-23T19:47:33+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-wales-mid-wales-25059102"
"134","bbc.co.uk","BBC News - China media: New security body","2013-11-15T06:45:41+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-china-24936763"
"135","bbc.co.uk","BBC News - In pictures: Philippines struggle for survival","2013-11-13T08:12:44+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24908731"
"136","bbc.co.uk","BBC News - Chat apps and the future of news","2014-01-31T14:23:34+00:00","haiyan","bbc","http://www.bbc.co.uk/news/blogs-the-editors-25961589"
"137","bbc.co.uk","BBC News - Last-minute deal saves fractious UN climate talks","2013-11-24T13:30:49+00:00","haiyan","bbc","http://www.bbc.co.uk/news/science-environment-25067180"
"138","bbc.co.uk","BBC News - Typhoon Haiyan: UK charity appeal raises £50m","2013-11-21T12:04:43+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-25018054"
"138","bbc.co.uk","BBC News - Typhoon Haiyan: UK charity appeal raises £50m","2013-11-21T12:04:43+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-25018054"
"139","bbc.co.uk","BBC News - Typhoon Haiyan: Hundreds feared dead in Philippines","2013-11-10T02:39:26+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24878801"
"14","bbc.co.uk","BBC News - Typhoon Haiyan","2013-11-12T12:48:05+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-24901032"
"140","bbc.co.uk","BBC News - Health challenge faces typhoon-hit Philippines","2013-11-13T13:40:35+00:00","haiyan","bbc","http://www.bbc.co.uk/news/health-24909776"
"141","bbc.co.uk","BBC News - Typhoon Haiyan: UK commits aid for 500,000 in Philippines","2013-11-11T04:00:16+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24886806"
"142","bbc.co.uk","BBC News - In pictures: Philippines counts cost of Typhoon Haiyan","2013-11-10T07:33:35+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24879004"
"144","bbc.co.uk","BBC News - Oxfam concerned about Exeter man's Parabottle aid idea","2013-11-17T13:53:16+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-england-devon-24970691"
"145","bbc.co.uk","BBC News - UK newspaper review: New jail threat for NHS staff","2013-11-16T23:15:23+00:00","haiyan","bbc","http://www.bbc.co.uk/news/blogs-the-papers-24966454"
"145","bbc.co.uk","BBC News - UK newspaper review: New jail threat for NHS staff","2013-11-16T23:15:23+00:00","haiyan","bbc","http://www.bbc.co.uk/news/blogs-the-papers-24966454"
"146","bbc.co.uk","BBC News - Q&A: Disaster management and aid after Typhoon Haiyan","2013-11-14T16:03:09+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24927349"
"147","bbc.co.uk","BBC News - Philippine Typhoon Haiyan survivors 'desperate' for aid","2013-11-14T06:32:07+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24922492"
"148","bbc.co.uk","BBC News - Typhoon Haiyan: UK sending six aid planes","2013-11-25T00:37:43+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-25068596"
"149","bbc.co.uk","BBC News - UK storms: Living with contaminated flood water","2014-02-15T09:26:30+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-26169373"
"15","bbc.co.uk","BBC News - Philippine boxer Manny Pacquiao's accounts frozen","2013-11-27T17:54:21+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-25111226"
"150","bbc.co.uk","BBC News - Typhoon Haiyan: Ships head to Philippines amid devastation","2013-11-13T03:51:17+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24895620"
"152","bbc.co.uk","BBC News - Philippines typhoon: UK doctors speak from storm-hit country","2013-11-18T18:46:55+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24980472"
"16","bbc.co.uk","BBC News - Severe Tropical Storm Haiyan makes landfall in Vietnam","2013-11-11T15:42:34+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24890114"
"16","bbc.co.uk","BBC News - Severe Tropical Storm Haiyan makes landfall in Vietnam","2013-11-11T15:42:34+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24890114"
"17","bbc.co.uk","BBC News - Typhoon Haiyan: British Filipinos hold events for victims","2013-11-14T15:21:10+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24929251"
"18","bbc.co.uk","BBC News - Monster typhoon Haiyan roars across Philippines","2013-11-08T06:11:46+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24846813"
"19","bbc.co.uk","BBC News - In pictures: Waiting for aid","2013-11-14T07:33:27+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24922331"
"2","bbc.co.uk","BBC News - British man 'missing' after Philippines typhoon","2013-11-17T04:00:40+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24969785"
"20","bbc.co.uk","BBC News - UK newspaper review: Focus on plight of typhoon children","2013-11-13T23:24:56+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24920925"
"21","bbc.co.uk","BBC News - British carrier HMS Illustrious to aid typhoon victims","2013-11-15T10:49:34+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24940632"
"22","bbc.co.uk","BBC News - Typhoon Haiyan: Islands are 'a mess', aid worker says","2013-11-22T01:08:39+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-england-birmingham-25020646"
"23","bbc.co.uk","BBC News - Typhoon Haiyan aid flight going from East Midlands Airport","2013-11-18T12:25:30+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-england-24978563"
"24","bbc.co.uk","BBC News - Guernsey's Bailiff launches Philippines typhoon appeal","2013-11-13T10:35:24+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-europe-guernsey-24909638"
"25","bbc.co.uk","BBC News - HMS Daring arrives in Philippines to aid Typhoon Haiyan victims","2013-11-18T09:19:54+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24977304"
"26","bbc.co.uk","BBC News - Stars give songs for Philippines","2013-11-27T11:28:23+00:00","haiyan","bbc","http://www.bbc.co.uk/news/entertainment-arts-25102418"
"27","bbc.co.uk","BBC News - In pictures: Typhoon Haiyan aid stepped up","2013-11-17T18:29:32+00:00","haiyan","bbc","http://www.bbc.co.uk/news/in-pictures-24975094"
"28","bbc.co.uk","BBC News - Philippines: 'early recovery' begins","2013-12-07T13:17:40+00:00","haiyan","bbc","http://www.bbc.co.uk/news/health-25257139"
"28","bbc.co.uk","BBC News - Philippines: 'early recovery' begins","2013-12-07T13:17:40+00:00","haiyan","bbc","http://www.bbc.co.uk/news/health-25257139"
"29","bbc.co.uk","BBC News - Typhoon Haiyan: Images from Panay Island","2013-11-26T10:23:14+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-25056976"
"3","bbc.co.uk","BBC News - Typhoon Haiyan: Thousands feared dead in Philippines","2013-11-11T01:31:48+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24887337"
"30","bbc.co.uk","BBC News - Typhoon Haiyan: Charity helps heal emotional scars","2013-11-23T06:35:31+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-25047459"
"31","bbc.co.uk","BBC News - Typhoon Haiyan: UK's Philippines appeal raises £13m","2013-11-14T12:04:10+00:00","haiyan","bbc","http://www.bbc.co.uk/news/uk-24928593"
"32","bbc.co.uk","BBC News - Filipino chef loses 10 family members to Typhoon Haiyan","2013-11-13T11:19:05+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-europe-24909930"
"33","bbc.co.uk","BBC News - Philippine typhoon: Trying to help after Haiyan","2013-11-13T15:17:52+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24913321"
"34","bbc.co.uk","BBC News - Philippines typhoon: President lowers death toll estimate","2013-11-13T18:48:17+00:00","haiyan","bbc","http://www.bbc.co.uk/news/world-asia-24920250"
