query_distinct,query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end
"aljazeera.com-w14","2014-04-16","weeks","14","98","11400","2014-01-08","2014-01-15"
"aljazeera.com-w15","2014-04-16","weeks","15","105","11400","2014-01-01","2014-01-08"
"aljazeera.com-w16","2014-04-16","weeks","16","112","14100","2013-12-25","2014-01-01"
"aljazeera.com-w17","2014-04-16","weeks","17","119","14100","2013-12-18","2013-12-25"
"aljazeera.com-w18","2014-04-16","weeks","18","126","14100","2013-12-11","2013-12-18"
"aljazeera.com-w19","2014-04-16","weeks","19","133","14100","2013-12-04","2013-12-11"
"aljazeera.com-w20","2014-04-16","weeks","20","140","14100","2013-11-27","2013-12-04"
"aljazeera.com-w22","2014-04-16","weeks","22","154","16700","2013-11-13","2013-11-20"
"bbc.co.uk-w13","2014-04-16","weeks","13","91","165000","2014-01-15","2014-01-22"
"bbc.co.uk-w14","2014-04-16","weeks","14","98","162000","2014-01-08","2014-01-15"
"bbc.co.uk-w15","2014-04-16","weeks","15","105","159000","2014-01-01","2014-01-08"
"bbc.co.uk-w16","2014-04-16","weeks","16","112","397000","2013-12-25","2014-01-01"
"bbc.co.uk-w17","2014-04-16","weeks","17","119","398000","2013-12-18","2013-12-25"
"bbc.co.uk-w18","2014-04-16","weeks","18","126","393000","2013-12-11","2013-12-18"
"bbc.co.uk-w19","2014-04-16","weeks","19","133","398000","2013-12-04","2013-12-11"
"bbc.co.uk-w20","2014-04-16","weeks","20","140","399000","2013-11-27","2013-12-04"
"bbc.co.uk-w21","2014-04-16","weeks","21","147","396000","2013-11-20","2013-11-27"
"bbc.co.uk-w22","2014-04-16","weeks","22","154","599000","2013-11-13","2013-11-20"
"cbc.ca-w13","2014-04-16","weeks","13","91","74900","2014-01-15","2014-01-22"
"cbc.ca-w14","2014-04-16","weeks","14","98","74200","2014-01-08","2014-01-15"
"cbc.ca-w15","2014-04-16","weeks","15","105","74900","2014-01-01","2014-01-08"
"cbc.ca-w16","2014-04-16","weeks","16","112","91300","2013-12-25","2014-01-01"
"cbc.ca-w17","2014-04-16","weeks","17","119","91300","2013-12-18","2013-12-25"
"cbc.ca-w18","2014-04-16","weeks","18","126","91900","2013-12-11","2013-12-18"
"cbc.ca-w19","2014-04-16","weeks","19","133","91900","2013-12-04","2013-12-11"
"cbc.ca-w20","2014-04-16","weeks","20","140","91300","2013-11-27","2013-12-04"
"cbc.ca-w21","2014-04-16","weeks","21","147","91300","2013-11-20","2013-11-27"
"cbc.ca-w22","2014-04-16","weeks","22","154","110000","2013-11-13","2013-11-20"
"cnn.com-w13","2014-04-16","weeks","13","91","87600","2014-01-15","2014-01-22"
"cnn.com-w14","2014-04-16","weeks","14","98","87200","2014-01-08","2014-01-15"
"cnn.com-w15","2014-04-16","weeks","15","105","87600","2014-01-01","2014-01-08"
"cnn.com-w16","2014-04-16","weeks","16","112","107000","2013-12-25","2014-01-01"
"cnn.com-w17","2014-04-16","weeks","17","119","108000","2013-12-18","2013-12-25"
"cnn.com-w18","2014-04-16","weeks","18","126","107000","2013-12-11","2013-12-18"
"cnn.com-w19","2014-04-16","weeks","19","133","108000","2013-12-04","2013-12-11"
"cnn.com-w20","2014-04-16","weeks","20","140","108000","2013-11-27","2013-12-04"
"cnn.com-w21","2014-04-16","weeks","21","147","108000","2013-11-20","2013-11-27"
"cnn.com-w22","2014-04-16","weeks","22","154","137000","2013-11-13","2013-11-20"
"foxnews.com-w13","2014-04-16","weeks","13","91","37100","2014-01-15","2014-01-22"
"foxnews.com-w14","2014-04-16","weeks","14","98","37100","2014-01-08","2014-01-15"
"foxnews.com-w15","2014-04-16","weeks","15","105","37100","2014-01-01","2014-01-08"
"foxnews.com-w16","2014-04-16","weeks","16","112","45700","2013-12-25","2014-01-01"
"foxnews.com-w17","2014-04-16","weeks","17","119","46100","2013-12-18","2013-12-25"
"foxnews.com-w18","2014-04-16","weeks","18","126","45700","2013-12-11","2013-12-18"
"foxnews.com-w19","2014-04-16","weeks","19","133","45700","2013-12-04","2013-12-11"
"foxnews.com-w20","2014-04-16","weeks","20","140","46100","2013-11-27","2013-12-04"
"foxnews.com-w21","2014-04-16","weeks","21","147","45700","2013-11-20","2013-11-27"
"foxnews.com-w22","2014-04-16","weeks","22","154","56700","2013-11-13","2013-11-20"
"huffingtonpost.com-w13","2014-04-16","weeks","13","91","110000","2014-01-15","2014-01-22"
"huffingtonpost.com-w14","2014-04-16","weeks","14","98","110000","2014-01-08","2014-01-15"
"huffingtonpost.com-w15","2014-04-16","weeks","15","105","110000","2014-01-01","2014-01-08"
"huffingtonpost.com-w16","2014-04-16","weeks","16","112","176000","2013-12-25","2014-01-01"
"huffingtonpost.com-w17","2014-04-16","weeks","17","119","176000","2013-12-18","2013-12-25"
"huffingtonpost.com-w18","2014-04-16","weeks","18","126","173000","2013-12-11","2013-12-18"
"huffingtonpost.com-w19","2014-04-16","weeks","19","133","174000","2013-12-04","2013-12-11"
"huffingtonpost.com-w20","2014-04-16","weeks","20","140","175000","2013-11-27","2013-12-04"
"huffingtonpost.com-w21","2014-04-16","weeks","21","147","176000","2013-11-20","2013-11-27"
"huffingtonpost.com-w22","2014-04-16","weeks","22","154","325000","2013-11-13","2013-11-20"
"iol.co.za-w13","2014-04-16","weeks","13","91","14200","2014-01-15","2014-01-22"
"iol.co.za-w14","2014-04-16","weeks","14","98","14200","2014-01-08","2014-01-15"
"iol.co.za-w15","2014-04-16","weeks","15","105","14200","2014-01-01","2014-01-08"
"iol.co.za-w16","2014-04-16","weeks","16","112","17200","2013-12-25","2014-01-01"
"iol.co.za-w17","2014-04-16","weeks","17","119","17300","2013-12-18","2013-12-25"
"iol.co.za-w18","2014-04-16","weeks","18","126","17300","2013-12-11","2013-12-18"
"iol.co.za-w19","2014-04-16","weeks","19","133","17200","2013-12-04","2013-12-11"
"iol.co.za-w20","2014-04-16","weeks","20","140","17200","2013-11-27","2013-12-04"
"iol.co.za-w21","2014-04-16","weeks","21","147","17300","2013-11-20","2013-11-27"
"iol.co.za-w22","2014-04-16","weeks","22","154","20900","2013-11-13","2013-11-20"
"latimes.com-w13","2014-04-16","weeks","13","91","34300","2014-01-15","2014-01-22"
"latimes.com-w14","2014-04-16","weeks","14","98","34300","2014-01-08","2014-01-15"
"latimes.com-w15","2014-04-16","weeks","15","105","34700","2014-01-01","2014-01-08"
"latimes.com-w16","2014-04-16","weeks","16","112","42800","2013-12-25","2014-01-01"
"latimes.com-w17","2014-04-16","weeks","17","119","42800","2013-12-18","2013-12-25"
"latimes.com-w18","2014-04-16","weeks","18","126","42700","2013-12-11","2013-12-18"
"latimes.com-w19","2014-04-16","weeks","19","133","42700","2013-12-04","2013-12-11"
"latimes.com-w20","2014-04-16","weeks","20","140","42700","2013-11-27","2013-12-04"
"latimes.com-w21","2014-04-16","weeks","21","147","42700","2013-11-20","2013-11-27"
"latimes.com-w22","2014-04-16","weeks","22","154","52100","2013-11-13","2013-11-20"
"news.com.au-w14","2014-04-16","weeks","14","98","25900","2014-01-08","2014-01-15"
