doc_id,domain,title,date_published,collection,tags,url,summary
haiyan-google_51-61_w17(3),ada.org,"ADA, ADA Foundation and members of dental industry provide ...",,haiyan,google,http://www.ada.org/news/9462.aspx,"For <b>Typhoon Haiyan</b> relief, write &quot;Philippines&quot; in the memo field of remitted ... also <br> announced plans to provide relief support, as ADA <b>News</b> reported online Nov."
haiyan-google_51-61_w17(4),ncnnews.com,Metro Manila District pledges 10 boats for Typhoon Haiyan relief ...,,haiyan,google,http://www.ncnnews.com/nphweb/html/ncn/article.jsp?id=10013505,"Nazarene Communications Network <b>News</b> ... Super <b>Typhoon Haiyan</b>, locally <br> known as Yolanda, struck the central Philippines on November 8, leaving an&nbsp;..."
haiyan-google_51-61_w17(5),ldschurchnews.com,LDS Church News - Response to Typhoon Haiyan by the numbers,,haiyan,google,http://www.ldschurchnews.com/articles/64457/Response-to-Typhoon-Haiyan-by-the-numbers.html,"<b>Typhoon Haiyan</b> by the numbers: • 14.1 million people affected (including 25,762 <br> Church members). • 4.1 million people displaced. • 1.1 million damaged and&nbsp;..."
haiyan-google_51-61_w17(6),newyork.cbslocal.com,Stars Come Out To Raise Money For Victims Of Typhoon Haiyan ...,,haiyan,google,http://newyork.cbslocal.com/2014/03/11/benefit-concert-held-to-support-filipino-communities-recovering-from-typhoon-haiyan/,"... night, in support of Filipinos who are still working to piece their lives back <br> together in the aftermath of <b>typhoon Haiyan</b>. ... TRI-STATE <b>NEWS</b> HEADLINES."
haiyan-google_51-61_w17(7),newsnow.co.uk,NewsNow: Typhoon Haiyan News | Breaking News &amp; Search 24/7,,haiyan,google,http://www.newsnow.co.uk/h/Hot+Topics/Typhoon+Haiyan,"Read the latest <b>Typhoon Haiyan</b> headlines, all in one place, on NewsNow: the <br> one-stop shop for <b>news</b>."
haiyan-google_51-61_w17(8),redcross.org.uk,Millions affected by Typhoon Haiyan yet to return home,,haiyan,google,http://www.redcross.org.uk/About-us/News/2014/March/Millions-affected-by-Typhoon-Haiyan-yet-to-return-home,New statistics suggest millions of people affected by <b>Typhoon Haiyan</b> are unable <br> to go ... Enter your email address below to receive the latest Red Cross <b>news</b>.
haiyan-google_51-61_w17(9),ucanews.com,Philippine president&apos;s Typhoon Haiyan apology falls flat ucanews.com,,haiyan,google,http://www.ucanews.com/news/philippine-presidents-typhoon-haiyan-apology-falls-flat/70491,Philippine president&#39;s <b>Typhoon Haiyan</b> apology falls flat . Critics say Aquino <br> needs to come up with actions not words.
haiyan-google_51-61_w18(1),ibtimes.com,The philippines after typhoon haiyan: fastest q4 gdp growth in asia ...,,haiyan,google,http://www.ibtimes.com/philippines-after-typhoon-haiyan-fastest-q4-gdp-growth-asia-after-china-1551846,"Despite suffering the devastating <b>Typhoon Haiyan</b>, the Philippines economy <br> remained robust in the last quarter of 2013. ... Business <b>news</b>. Wednesday, April <br> 09&nbsp;..."
haiyan-google_51-61_w18(10),myfoxatlanta.com,How you can help Typhoon Haiyan recovery efforts - Atlanta News ...,,haiyan,google,http://www.myfoxatlanta.com/story/23936775/how-you-can-help-typhoon-haiyan-recovery-efforts,A massive <b>typhoon</b> has left the Philippines ravaged. Thousands of people have <br> been killed and more than 300000 residents have been left homeless as a result<br> &nbsp;...
haiyan-google_51-61_w18(2),scmp.com,Philippine coconut oil exports fall 35pc after super typhoon Haiyan ...,,haiyan,google,http://www.scmp.com/news/asia/article/1446091/super-typhoon-haiyan-hits-philippine-coconut-oil-exports,"<b>Typhoon Haiyan</b>, one of the strongest storms ever recorded, struck the <br> Philippines in November 2013 with winds of .... After reading this <b>article</b>, people <br> also read."
