doc_id,domain,title,date_published,date_query,collection,tags,url,summary
"haiyan-google_81-91_w19(02)","gameinformer.com","Twitch Raises $90,000 For Typhoon Haiyan Relief - News - www ...","","w19[2014-04-09]","haiyan","google","http://www.gameinformer.com/b/news/archive/2013/12/09/twitch-raises-90000-for-typhoon-haiyan-relief-.aspx","Twitch has announced that it has donated $90,000 to the relief effort in the <br> Philippines following <b>Typhoon Haiyan</b> last month. The funds were raised through <br> the&nbsp;..."
"haiyan-google_81-91_w19(03)","usnews.com","After Haiyan, Philippines expands crop insurance - US News","","w19[2014-04-09]","haiyan","google","http://www.usnews.com/news/business/articles/2014/03/26/after-haiyan-philippines-expands-crop-insurance","CALAMBA, Philippines (AP) — The aftermath of <b>Typhoon Haiyan</b> in the <br> Philippines has added urgency to finding a solution to a longstanding problem: <br> less than&nbsp;..."
"haiyan-google_81-91_w19(04)","sjapc.net","Rebuilding after Typhoon Haiyan (Yolanda) | Jesuit Asia Pacific ...","","w19[2014-04-09]","haiyan","google","http://sjapc.net/content/rebuilding-after-typhoon-haiyan-yolanda","Home » <b>News</b> » Rebuilding after <b>Typhoon Haiyan</b> (Yolanda) ... A Wall Street <br> Journal <b>article</b> quotes a presidential spokesman saying that work has begun on&nbsp;..."
"haiyan-google_81-91_w19(05)","express.co.uk","David Beckham plays football with Typhoon Haiyan survivors in the ...","","w19[2014-04-09]","haiyan","google","http://www.express.co.uk/news/showbiz/459760/David-Beckham-plays-football-with-Typhoon-Haiyan-survivors-in-the-Philippines","David Beckham enjoys a game of footie with <b>Typhoon Haiyan</b> survivors at <br> Filipino .... back issues and use the historic Daily Express newspaper archive. <br> <b>News</b>."
"haiyan-google_81-91_w19(06)","ldsphilanthropies.org","Mormon Volunteers Building Homes for Typhoon Haiyan Victims","","w19[2014-04-09]","haiyan","google","http://www.ldsphilanthropies.org/humanitarian-services/news-features/mormon-volunteers-building-homes-typhoon-haiyan-victims.html","VIDEO—Several months after a devastating typhoon struck the Philippines, relief <br> efforts ... <b>Typhoon Haiyan</b> struck the Philippines on 8 November 2013, destroying <br> over a .... health and happiness to entire villages. (4:32). Read More &middot; <b>ARTICLE</b>&nbsp;..."
"haiyan-google_81-91_w19(07)","news24.com","New cyclone hits victims of Typhoon Haiyan | News24","","w19[2014-04-09]","haiyan","google","http://www.news24.com/World/News/New-cyclone-hits-victims-of-Typhoon-Haiyan-20140120","New cyclone hits victims of <b>Typhoon Haiyan</b> ... Super <b>Typhoon Haiyan</b> victims sift <br> through the rubble of their destroyed homes as a military .... <b>News</b> In Your Area."
"haiyan-google_81-91_w19(08)","unfpa.org","Women&apos;s Health Critical for Recovery in Aftermath of Typhoon ...","","w19[2014-04-09]","haiyan","google","http://www.unfpa.org/public/home/news/pid/16090","UNFPA <b>News</b> ... Dr. Osotimehin visited <b>typhoon Haiyan</b>-affected areas in central <br> Philippines to raise awareness on the needs of women and girls more than a&nbsp;..."
"haiyan-google_81-91_w19(09)","stream.wsj.com","After Typhoon Haiyan - Wall Street Journal - WSJ.com","","w19[2014-04-09]","haiyan","google","http://stream.wsj.com/story/after-typhoon-haiyan/SS-2-378869/","Thousands are feared dead after <b>Typhoon Haiyan</b> hammered the Philippines <br> with fierce winds and heavy rains. ... Top Streaming <b>Coverage</b> Reverse Order."
"haiyan-google_81-91_w19(10)","pbs.org","NOVA | Haiyan&apos;s Displaced—What Now?","","w19[2014-04-09]","haiyan","google","http://www.pbs.org/wgbh/nova/earth/haiyans-displaced.html","Thousands of Filipinos made homeless by <b>Typhoon Haiyan</b> are ordered to <br> relocate. ... For more <b>coverage</b> on <b>Typhoon Haiyan</b>, visit PRI&#39;s &quot;The World.&quot;&nbsp;..."
"haiyan-google_81-91_w20(01)","seekingalpha.com","Why Typhoon Haiyan Shows The Need For Solazyme&apos;s Technology","","w20[2014-04-09]","haiyan","google","http://seekingalpha.com/article/1859921-why-typhoon-haiyan-shows-the-need-for-solazymes-technology","The recent disaster caused by <b>Typhoon Haiyan</b> represents a clear case study in <br> how Solazyme&#39;s .... I wrote this <b>article</b> myself, and it expresses my own opinions."
"haiyan-google_81-91_w20(02)","digitaljournal.com","Op-Ed: Pnoy&apos;s Typhoon Haiyan&apos;s death toll counting system stinks","","w20[2014-04-09]","haiyan","google","http://digitaljournal.com/article/363014","More than three weeks after Super <b>Typhoon Haiyan</b> battered central Philippines, <br> President Benigno ... This opinion <b>article</b> was written by an independent writer."
"haiyan-google_81-91_w20(03)","contracostatimes.com","Oakland doctor to travel to Philippines with team to offer Typhoon ...","2013-11-27T11:36:10-0700","w20[2014-04-09]","haiyan","google","http://www.contracostatimes.com/news/ci_24613275/oakland-doctor-travel-philippines-team-offer-typhoon-haiyan","Many felt compassion at images of the wreckage left behind by <b>Typhoon Haiyan</b> <br> in the Philippines. But it was ... (Dan Honda/Bay Area <b>News</b> Group). « 1; 2; 3; »."
"haiyan-google_81-91_w20(04)","insurancejournal.com","Super typhoon haiyan tops impact forecasting&apos;s november cat review","","w20[2014-04-09]","haiyan","google","http://www.insurancejournal.com/news/international/2013/12/06/313229.htm","... Catastrophe Recap report for November highlights the havoc caused by Super <br> <b>Typhoon Haiyan</b> wh. ... Insurance Journal - Property Casualty Industry <b>News</b>&nbsp;..."
