doc_id,domain,title,date_published,collection,tags,url,summary
"haiyan-google_41-51(4)","cnn.com","Typhoon Haiyan survivors flee Tacloban misery on navy ship to Cebu","2013-11-15T08:58:11Z","haiyan","google","http://www.cnn.com/2013/11/15/world/asia/tacloban-cebu-navy-evacuation/","Cebu Port, Philippines (CNN) -- Nearly 3,000 survivors of <b>Typhoon Haiyan</b> <br> disembarked from a Philippines naval ship in Cebu Friday, carrying the few&nbsp;..."
"haiyan-google_41-51(5)","cnn.com","Typhoon Haiyan death toll closer to 2,500, Philippine president says ...","2013-11-12T15:14:41Z","haiyan","google","http://www.cnn.com/2013/11/12/world/asia/philippines-typhoon-aquino/","<b>Typhoon Haiyan</b> likely killed 2000 to 2500 people in the Philippines, President <br> Aquino said, not 10000 as some early estimates said."
"haiyan-google_41-51(6)","ac360.blogs.cnn.com","Typhoon Haiyan: One week later – Anderson Cooper 360 - CNN ...","","haiyan","google","http://ac360.blogs.cnn.com/2013/11/14/typhoon-haiyan-one-week-later/","One week after the super <b>typhoon</b> hit, the humanitarian crisis in the Philippines is <br> still unfolding. Anderson discussed the latest on the situation with CNN&nbsp;..."
"haiyan-google_41-51(7)","cnn.com","Typhoon Haiyan: The latest developments - CNN.com","2013-11-10T23:32:18Z","haiyan","google","http://www.cnn.com/2013/11/10/world/asia/typhoon-haiyan-developments/","Tacloban, Philippines (CNN) -- Three days after Super <b>Typhoon Haiyan</b> ripped <br> through the Philippines, the country is just beginning to understand the scope of&nbsp;..."
"haiyan-google_41-51(8)","ac360.blogs.cnn.com","Typhoon Haiyan: Children of the storm – Anderson Cooper 360 ...","","haiyan","google","http://ac360.blogs.cnn.com/2013/11/12/typhoon-haiyan-children-of-the-storm/","With each passing day, the desperation is growing. The youngest survivors are <br> among the most vulnerable. CNN&#39;s Paula Hancocks takes a look at how some of<br> &nbsp;..."
"haiyan-google_41-51(9)","ac360.blogs.cnn.com","Storm chaser on Typhoon Haiyan – Anderson Cooper 360 - CNN ...","","haiyan","google","http://ac360.blogs.cnn.com/2013/11/12/storm-chaser-on-typhoon-haiyan/","Storm chasers are used to running towards danger. But <b>Haiyan</b> is one of the <br> strongest storms to ever hit land. What it left behind is devastation on a scale that<br> &nbsp;..."
"haiyan-google_51-61(1)","cnn.com","Philippines: World scrambles to deliver basics as one mother despairs","2013-11-17T15:10:41Z","haiyan","google","http://www.cnn.com/2013/11/17/world/asia/philippines-typhoon-haiyan/","(CNN) -- A distraught mother who lost her young sons in the tidal surge of Super <br> <b>Typhoon Haiyan</b> feels her life is over. &quot;I guess I&#39;m just thinking to jump from that&nbsp;..."
"haiyan-google_51-61(10)","sportsillustrated.cnn.com","Manny Pacquiao says he&apos;s borrowing to give aid after Typhoon Haiyan","","haiyan","google","http://sportsillustrated.cnn.com/mma/news/20131126/manny-pacquiao-borrowing-typhoon-haiyan-aid.ap/","Fierce winds and tsunami-like storm surges from <b>Typhoon Haiyan</b>, one of the <br> strongest typhoons on record, demolished entire communities and killed over&nbsp;..."
"haiyan-google_51-61(2)","ireport.cnn.com","Super Typhoon Haiyan Experience - CNN iReport","","haiyan","google","http://ireport.cnn.com/docs/DOC-1059896","CNN PRODUCER NOTE iReporter maelene was on vacation in Tacloban City, <br> central Philippines, when <b>Typhoon Haiyan</b> ravaged the area with high winds and<br> &nbsp;..."
"haiyan-google_51-61(3)","cnn.com","Typhoon Haiyan: &apos;The one building that survived the storm&apos; - CNN.com","2013-11-11T15:18:45Z","haiyan","google","http://www.cnn.com/2013/11/11/world/asia/tacloban-typhoon-building/","One of the worst-hit cities in the Philippines, Tacloban, has been completely <br> devastated by <b>Typhoon Haiyan</b>. The capital city of Leyte province, nearly 400 <br> miles&nbsp;..."
"haiyan-google_51-61(4)","cnn.com","Super Typhoon Haiyan: &apos;It is like a tsunami has hit&apos; - CNN.com","2013-11-09T04:41:42Z","haiyan","google","http://www.cnn.com/2013/11/08/world/asia/typhoon-haiyan-hancocks/","CNN&#39;s Paula Hancocks reports that the devastation from Super <b>Typhoon Haiyan</b> <br> is like that of a massive tsunami."
