query_distinct,query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end
countryLA,4/12/2014,years,1,365,43,4/12/2013,4/12/2014
countryLB,4/12/2014,years,1,365,58,4/12/2013,4/12/2014
countryLI,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
countryLK,4/12/2014,years,1,365,171,4/12/2013,4/12/2014
countryLR,4/12/2014,years,1,365,6,4/12/2013,4/12/2014
countryLS,4/12/2014,years,1,365,3,4/12/2013,4/12/2014
countryLT,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
countryLU,4/12/2014,years,1,365,194,4/12/2013,4/12/2014
countryLV,4/12/2014,years,1,365,67,4/12/2013,4/12/2014
countryLY,4/12/2014,years,1,365,97,4/12/2013,4/12/2014
countryMA,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
countryMC,4/12/2014,years,1,365,8,4/12/2013,4/12/2014
countryMD,4/12/2014,years,1,365,10,4/12/2013,4/12/2014
countryMG,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
countryMH,4/12/2014,years,1,365,4,4/12/2013,4/12/2014
countryMK,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
countryML,4/12/2014,years,1,365,10,4/12/2013,4/12/2014
countryMM,4/12/2014,years,1,365,82,4/12/2013,4/12/2014
countryMN,4/12/2014,years,1,365,18,4/12/2013,4/12/2014
countryMO,4/12/2014,years,1,365,31,4/12/2013,4/12/2014
countryMP,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
countryMR,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
countryMT,4/12/2014,years,1,365,104,4/12/2013,4/12/2014
countryMU,4/12/2014,years,1,365,69,4/12/2013,4/12/2014
countryMV,4/12/2014,years,1,365,7,4/12/2013,4/12/2014
countryMW,4/12/2014,years,1,365,10,4/12/2013,4/12/2014
countryMX,4/12/2014,years,1,365,368,4/12/2013,4/12/2014
countryMY,4/12/2014,years,1,365,3460,4/12/2013,4/12/2014
countryMZ,4/12/2014,years,1,365,5,4/12/2013,4/12/2014
countryNA,4/12/2014,years,1,365,25,4/12/2013,4/12/2014
countryNG,4/12/2014,years,1,365,167,4/12/2013,4/12/2014
countryNI,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
countryNL,4/12/2014,years,1,365,470,4/12/2013,4/12/2014
countryNO,4/12/2014,years,1,365,203,4/12/2013,4/12/2014
countryNP,4/12/2014,years,1,365,58,4/12/2013,4/12/2014
countryNR,4/12/2014,years,1,365,1,4/12/2013,4/12/2014
countryNZ,4/12/2014,years,1,365,1550,4/12/2013,4/12/2014
countryOM,4/12/2014,years,1,365,31,4/12/2013,4/12/2014
countryPA,4/12/2014,years,1,365,4,4/12/2013,4/12/2014
countryPE,4/12/2014,years,1,365,8,4/12/2013,4/12/2014
countryPG,4/12/2014,years,1,365,9,4/12/2013,4/12/2014
countryPH,4/12/2014,years,1,365,27700,4/12/2013,4/12/2014
countryPK,4/12/2014,years,1,365,471,4/12/2013,4/12/2014
countryPL,4/12/2014,years,1,365,120,4/12/2013,4/12/2014
