query_distinct,query_run_date,query_period,periods_back,days_back,raw_result_count,compared_result_count,date_query_start,date_query_end
"m1","2014-04-17","months","1","31","413000000","-96000000","2014-03-17","2014-04-17"
"m2","2014-04-17","months","2","62","509000000","-65000000","2014-02-14","2014-03-17"
"m3","2014-04-17","months","3","93","574000000","-38000000","2014-01-14","2014-02-14"
"m4","2014-04-17","months","4","124","612000000","-29000000","2013-12-14","2014-01-14"
"m5","2014-04-17","months","5","155","641000000","2000000","2013-11-13","2013-12-14"
"m6","2014-04-17","months","6","186","639000000","639000000","2013-10-13","2013-11-13"
