query_url,query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end
"countryKN","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"countryKR","2014-04-12","years","1","365","584","2013-04-12","2014-04-12"
"countryKW","2014-04-12","years","1","365","47","2013-04-12","2014-04-12"
"countryKY","2014-04-12","years","1","365","25","2013-04-12","2014-04-12"
"countryKZ","2014-04-12","years","1","365","32","2013-04-12","2014-04-12"
"countryLA","2014-04-12","years","1","365","43","2013-04-12","2014-04-12"
"countryLB","2014-04-12","years","1","365","58","2013-04-12","2014-04-12"
"countryLI","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"countryLK","2014-04-12","years","1","365","171","2013-04-12","2014-04-12"
"countryLR","2014-04-12","years","1","365","6","2013-04-12","2014-04-12"
"countryLS","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"countryLT","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"countryLU","2014-04-12","years","1","365","194","2013-04-12","2014-04-12"
"countryLV","2014-04-12","years","1","365","67","2013-04-12","2014-04-12"
"countryLY","2014-04-12","years","1","365","97","2013-04-12","2014-04-12"
"countryMA","2014-04-12","years","1","365","9","2013-04-12","2014-04-12"
"countryMC","2014-04-12","years","1","365","8","2013-04-12","2014-04-12"
"countryMD","2014-04-12","years","1","365","10","2013-04-12","2014-04-12"
"countryMG","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"countryMH","2014-04-12","years","1","365","4","2013-04-12","2014-04-12"
"countryMK","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"countryML","2014-04-12","years","1","365","10","2013-04-12","2014-04-12"
"countryMM","2014-04-12","years","1","365","82","2013-04-12","2014-04-12"
"countryMN","2014-04-12","years","1","365","18","2013-04-12","2014-04-12"
"countryMO","2014-04-12","years","1","365","31","2013-04-12","2014-04-12"
"countryMP","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"countryMR","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"countryMT","2014-04-12","years","1","365","104","2013-04-12","2014-04-12"
"countryMU","2014-04-12","years","1","365","69","2013-04-12","2014-04-12"
"countryMV","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"countryMW","2014-04-12","years","1","365","10","2013-04-12","2014-04-12"
"countryMX","2014-04-12","years","1","365","368","2013-04-12","2014-04-12"
"countryMY","2014-04-12","years","1","365","3460","2013-04-12","2014-04-12"
"countryMZ","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"countryNA","2014-04-12","years","1","365","25","2013-04-12","2014-04-12"
"countryNG","2014-04-12","years","1","365","167","2013-04-12","2014-04-12"
"countryNI","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"countryNL","2014-04-12","years","1","365","470","2013-04-12","2014-04-12"
"countryNO","2014-04-12","years","1","365","203","2013-04-12","2014-04-12"
"countryNP","2014-04-12","years","1","365","58","2013-04-12","2014-04-12"
"countryNR","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"countryNZ","2014-04-12","years","1","365","1550","2013-04-12","2014-04-12"
"countryOM","2014-04-12","years","1","365","31","2013-04-12","2014-04-12"
"countryPA","2014-04-12","years","1","365","4","2013-04-12","2014-04-12"
"countryPE","2014-04-12","years","1","365","8","2013-04-12","2014-04-12"
"countryPG","2014-04-12","years","1","365","9","2013-04-12","2014-04-12"
"countryPH","2014-04-12","years","1","365","27700","2013-04-12","2014-04-12"
"countryPK","2014-04-12","years","1","365","471","2013-04-12","2014-04-12"
"countryPL","2014-04-12","years","1","365","120","2013-04-12","2014-04-12"
"countryPR","2014-04-12","years","1","365","41","2013-04-12","2014-04-12"
"countryPS","2014-04-12","years","1","365","2","2013-04-12","2014-04-12"
"countryPT","2014-04-12","years","1","365","92","2013-04-12","2014-04-12"
"countryPW","2014-04-12","years","1","365","2","2013-04-12","2014-04-12"
"countryQA","2014-04-12","years","1","365","156","2013-04-12","2014-04-12"
"countryRE","2014-04-12","years","1","365","2","2013-04-12","2014-04-12"
"countryRO","2014-04-12","years","1","365","194","2013-04-12","2014-04-12"
"countryRU","2014-04-12","years","1","365","232","2013-04-12","2014-04-12"
"countryRW","2014-04-12","years","1","365","48","2013-04-12","2014-04-12"
"countrySA","2014-04-12","years","1","365","211","2013-04-12","2014-04-12"
"countrySB","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"countrySC","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"countrySE","2014-04-12","years","1","365","271","2013-04-12","2014-04-12"
"countrySG","2014-04-12","years","1","365","13400","2013-04-12","2014-04-12"
"countrySH","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"countrySI","2014-04-12","years","1","365","74","2013-04-12","2014-04-12"
"countrySJ","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"countrySK","2014-04-12","years","1","365","72","2013-04-12","2014-04-12"
"countrySL","2014-04-12","years","1","365","6","2013-04-12","2014-04-12"
"countrySN","2014-04-12","years","1","365","8","2013-04-12","2014-04-12"
"countrySO","2014-04-12","years","1","365","201","2013-04-12","2014-04-12"
"countryST","2014-04-12","years","1","365","6","2013-04-12","2014-04-12"
"countrySV","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"countryTC","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"countryTD","2014-04-12","years","1","365","1","2013-04-12","2014-04-12"
"countryTH","2014-04-12","years","1","365","961","2013-04-12","2014-04-12"
"countryTJ","2014-04-12","years","1","365","2","2013-04-12","2014-04-12"
"countryTM","2014-04-12","years","1","365","2","2013-04-12","2014-04-12"
"countryTN","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"countryTO","2014-04-12","years","1","365","6","2013-04-12","2014-04-12"
"countryTR","2014-04-12","years","1","365","301","2013-04-12","2014-04-12"
"countryTT","2014-04-12","years","1","365","38","2013-04-12","2014-04-12"
"countryTW","2014-04-12","years","1","365","715","2013-04-12","2014-04-12"
"countryTZ","2014-04-12","years","1","365","178","2013-04-12","2014-04-12"
"countryUA","2014-04-12","years","1","365","25","2013-04-12","2014-04-12"
"countryUG","2014-04-12","years","1","365","114","2013-04-12","2014-04-12"
"countryUK","2014-04-12","years","1","365","19200","2013-04-12","2014-04-12"
"countryUS","2014-04-12","years","1","365","491000","2013-04-12","2014-04-12"
"countryUY","2014-04-12","years","1","365","6","2013-04-12","2014-04-12"
"countryUZ","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"countryVA","2014-04-12","years","1","365","40","2013-04-12","2014-04-12"
"countryVC","2014-04-12","years","1","365","7","2013-04-12","2014-04-12"
"countryVE","2014-04-12","years","1","365","9","2013-04-12","2014-04-12"
"countryVG","2014-04-12","years","1","365","3","2013-04-12","2014-04-12"
"countryVI","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"countryVN","2014-04-12","years","1","365","1750","2013-04-12","2014-04-12"
"countryVU","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"countryWS","2014-04-12","years","1","365","2","2013-04-12","2014-04-12"
"countryYE","2014-04-12","years","1","365","5","2013-04-12","2014-04-12"
"countryZA","2014-04-12","years","1","365","928","2013-04-12","2014-04-12"
"countryZM","2014-04-12","years","1","365","19","2013-04-12","2014-04-12"
"countryZW","2014-04-12","years","1","365","61","2013-04-12","2014-04-12"
